,Date,Open,High,Low,Close
0,2024-10-30,222.5399932861328,226.30999755859375,221.5800018310547,224.41000366210938
1,2024-10-31,224.6999969482422,225.69000244140625,221.82000732421875,221.9199981689453
2,2024-11-01,223.55999755859375,226.14999389648438,222.6999969482422,222.94000244140625
3,2024-11-04,222.64999389648438,223.75999450683594,219.1699981689453,219.77999877929688
4,2024-11-05,220.02999877929688,221.9600067138672,220.0,221.49000549316406
5,2024-11-06,235.0,248.0,234.77000427246094,247.05999755859375
6,2024-11-07,244.5,244.57000732421875,235.22000122070312,236.3800048828125
7,2024-11-08,239.33999633789062,239.33999633789062,235.77999877929688,236.97999572753906
8,2024-11-11,240.0,242.10000610351562,239.0,239.2899932861328
9,2024-11-12,240.5500030517578,241.4600067138672,238.75999450683594,239.55999755859375
10,2024-11-13,240.5800018310547,244.08999633789062,240.30999755859375,241.16000366210938
11,2024-11-14,242.4199981689453,244.2899932861328,241.0500030517578,241.8699951171875
12,2024-11-15,241.4600067138672,246.4199981689453,241.4600067138672,245.30999755859375
13,2024-11-18,247.75999450683594,247.92999267578125,242.67999267578125,245.02999877929688
14,2024-11-19,242.25,245.14999389648438,241.5500030517578,243.08999633789062
15,2024-11-20,244.39999389648438,244.61000061035156,238.63999938964844,240.77999877929688
16,2024-11-21,243.22999572753906,245.49000549316406,242.11000061035156,244.75999450683594
17,2024-11-22,243.61000061035156,249.14999389648438,243.02999877929688,248.5500030517578
18,2024-11-25,249.58999633789062,254.30999755859375,249.05999755859375,250.2899932861328
19,2024-11-26,250.49000549316406,251.0,248.33999633789062,249.97000122070312
20,2024-11-27,249.35000610351562,251.19000244140625,248.77000427246094,249.7899932861328
21,2024-11-29,249.86000061035156,251.77000427246094,249.4499969482422,249.72000122070312
22,2024-12-02,249.5500030517578,250.25,245.02999877929688,246.25
23,2024-12-03,248.22999572753906,249.0399932861328,244.6300048828125,244.82000732421875
24,2024-12-04,244.6999969482422,245.35000610351562,242.22999572753906,243.39999389648438
25,2024-12-05,245.38999938964844,247.17999267578125,244.6199951171875,245.47999572753906
26,2024-12-06,245.6999969482422,247.74000549316406,244.83999633789062,247.36000061035156
27,2024-12-09,247.1300048828125,247.8699951171875,243.75999450683594,243.80999755859375
28,2024-12-10,243.88999938964844,247.9600067138672,242.22000122070312,242.86000061035156
29,2024-12-11,244.0,244.27000427246094,242.17999267578125,243.52999877929688
30,2024-12-12,243.0,244.10000610351562,241.0399932861328,241.52999877929688
31,2024-12-13,242.07000732421875,242.72000122070312,239.13999938964844,239.94000244140625
32,2024-12-16,240.61000061035156,240.6699981689453,237.52000427246094,239.5800018310547
33,2024-12-17,238.64999389648438,239.02000427246094,236.6300048828125,238.36000061035156
34,2024-12-18,239.0,239.07000732421875,229.52999877929688,230.3699951171875
35,2024-12-19,232.27000427246094,236.36000061035156,232.27000427246094,232.9600067138672
36,2024-12-20,231.9199981689453,239.2100067138672,231.58999633789062,237.60000610351562
37,2024-12-23,236.07000732421875,238.6199951171875,234.8800048828125,238.38999938964844
38,2024-12-24,239.42999267578125,242.49000549316406,239.07000732421875,242.30999755859375
39,2024-12-26,241.42999267578125,243.25999450683594,240.7899932861328,243.13999938964844
40,2024-12-27,242.72000122070312,243.38999938964844,240.0399932861328,241.1699981689453
